Date,Depositories_in,Insurers_in,Broker-Dealers_in,Others_in,Depositories_out,Insurers_out,Broker-Dealers_out,Others_out
07/12/2007,7.933066322,6.533055919,10.83798673,9.962166445,0.571699162,0.161834953,13.78288004,20.74986126
14/12/2007,6.375283443,6.65844508,10.66435692,10.33972043,0.196645476,0.22248086,11.5281455,22.09053405
21/12/2007,7.800659487,6.638837057,10.33003323,10.90001521,0.542996132,0.041399158,11.92132706,23.16382264
28/12/2007,7.859534428,7.075425193,10.1743932,12.03782519,0.536647146,0.097320886,12.42780651,24.08540346
04/01/2008,7.287911951,6.921055975,10.20854988,10.60636069,0.328176088,0.009998024,12.41462466,22.27107972
11/01/2008,7.301139712,6.858354006,10.02376475,9.750453494,0.90997531,0,11.90471419,21.11902247
18/01/2008,6.470295788,6.750345714,10.47950943,8.589567849,1.350042977,0.097815428,12.38008721,18.46177317
25/01/2008,9.045718762,8.228546068,10.97570604,10.78102712,3.164521676,0.203997238,11.72419236,23.93828671
01/02/2008,10.81960199,8.602340117,9.770445016,10.83180838,5.538668536,0.048540557,11.0827317,23.35425471
08/02/2008,10.58805057,8.213422891,8.971076212,10.65436068,7.695581441,0.277746721,7.523963495,22.9296187
15/02/2008,11.31567688,8.641841105,9.952620396,10.98340881,7.845309658,0.513322718,8.836035568,23.69887924
22/02/2008,11.35482452,8.804431665,9.397425149,11.12696138,8.008548219,0.835480899,8.480200849,23.35941275
29/02/2008,12.11421789,9.072331828,9.980342888,11.52274158,9.571574029,0.968229697,9.043065574,23.10676489
07/03/2008,11.85404676,8.617474612,9.195735691,12.16498843,9.491527449,0.735391805,8.369075321,23.23625092
14/03/2008,12.04355126,8.286007751,8.680035635,11.28156481,8.45196778,0.783895896,8.523886274,22.53140951
21/03/2008,13.13233514,9.264182513,9.524140873,11.79319657,10.755933,1.596970247,8.600593718,22.76035813
28/03/2008,12.94328616,9.262585528,10.31305253,10.87943792,10.93636057,1.695196634,11.09838165,19.66842329
04/04/2008,13.12656458,9.510536599,11.72770039,12.47444759,11.72832936,1.771495016,13.16461073,20.17481405
11/04/2008,12.25346615,9.557342696,10.1757106,12.71468022,10.16438162,1.753879028,12.15808938,20.62484964
18/04/2008,11.91208137,9.642705858,10.84896778,13.02010673,10.70388279,1.338355332,11.52497143,21.85665219
25/04/2008,11.87194066,9.528770874,11.34446496,11.6930483,9.703840175,1.102845883,11.3172892,22.31424954
02/05/2008,12.31804772,9.459198675,11.58607178,12.31401337,9.277052337,0.883944417,11.95265073,23.56368408
09/05/2008,12.31051582,9.364001467,11.28859967,11.9321935,12.13581677,1.378111641,10.20845932,21.17292273
16/05/2008,12.10542243,9.512041229,11.45263372,11.62167233,11.2867611,1.503372851,10.18097646,21.72065931
23/05/2008,11.55839454,9.98207727,10.62902668,12.07979893,10.57729792,1.87921669,11.19400666,20.59877616
30/05/2008,11.54560484,9.671274545,12.97307519,11.54036526,11.5388262,1.767887068,11.91937919,20.50422738
06/06/2008,11.83576486,9.465122692,11.89795123,12.14669525,11.51431708,2.015675033,11.55488896,20.26065295
13/06/2008,11.81245363,8.583909763,11.54832641,10.94289291,12.94353817,1.853737316,11.06777065,17.02253658
20/06/2008,11.93278813,8.526596224,10.51336994,9.79777984,12.12636059,1.610148003,11.52811764,15.50590791
27/06/2008,11.54079709,8.543421628,11.36398627,10.76270156,12.39742471,2.267286418,13.02499738,14.52119804
04/07/2008,11.14456369,8.925009913,12.40142709,11.76836598,12.62195695,1.731644122,14.5791024,15.3066632
11/07/2008,11.23116621,8.914719523,12.23349231,10.94933695,14.59007552,1.968757867,11.21119081,15.55869081
18/07/2008,12.86404074,8.462415489,11.61698832,11.14669772,19.16113233,1.857922545,10.75992762,12.31115979
25/07/2008,12.23894569,8.264632135,11.90995681,11.07982608,16.5902652,2.532567929,10.92126923,13.44925834
