WFC,JPM,BAC,C,USB,COF,PNC,BK,STT,BBT,STI,FITB,MTB,NTRS,RF,KEY,CMA,HBAN,HCBK,PBCT,BOKF,ZION,CFR,CBSH,SBNY,AIG,MET,TRV,AFL,PRU,CB,MMC,ALL,AON,L,PGR,HIG,PFG,CNA,LNC,CINF,Y,UNM,WRB,FNF,TMK,MKL,AJG,BRO,HCC,GS,BLK,MS,CME,SCHW,TROW,AMTD,RJF,SEIC,NDAQ,WDR,SF,GBL,MKTX,EEFT,WETF,DLLR,BGCP,PJC,ITG,INTL,GFIG,LTS,OPY,CLMS,AXP,BEN,CBG,IVZ,JLL,AMG,OCN,EV,LM,CACC,FII,AB,PRAA,JNS,NNI,WRLD,ECPG,NEWS,AGM,WHG,AVHI,SFE,ATAX,TAXI,NICK
0,0,12.82644623,22.03704224,0.026117356,0.921611523,0.433402828,0,0,0,25.61301408,10.15120064,0,0,11.00569748,0.712263697,7.366689698,3.099572798,0,0,0,9.426443808,0,0,0,0.390669125,0,0,0,0,0,0,0,0,0,0,7.321132422,0,0,8.33401241,0,0,0,0,0,0,0,0,0,0,0,0,0.861585694,0,0,0,0,0,0,0.167615973,0.178722838,0,0.008256556,0,0,0,0,0,4.638745733,0,0,0.50878808,0.067121398,0.642720047,0.569396768,0,0,1.36494163,0,0,0,0,0,0.030272265,0.018757627,0,0,0,2.448298075,0.163929472,0.986072044,0,2.43633853,1.317054037,0,2.212266803,0.062029095,0,0,0
4.533802534,0,5.823457228,43.27875664,7.361637117,13.28986154,0.020436854,0,0,0,1.743587115,3.265176536,0,0,2.471594938,0,0,1.621458592,0,0,0,4.646966864,0,0,0,0.792333578,0,0,0,0,0,0,0,0,0,0,4.593359376,0.056821181,0,10.64947796,0,0,0,0,0,0,0,0,0,0,0,0,23.27428158,0,0,0,0,0,0,0,0,0,0,0,0,0.016264893,0,0,0.841672679,0,0,0,0.833794235,0,0,0,0,4.556175894,0,0.035275951,0,0.016888455,0,0,0,0,0,0,9.215215258,0.19153676,2.929038241,0,1.092419288,1.387523528,0,1.977664567,0.078652534,0,0,0
1.691346326,0,0,52.11959046,0,2.562828026,0.027723731,0,0,0,1.487189968,3.350999034,0,0,21.40853399,3.654227698,5.048020248,8.02589853,0.039716065,0,0,15.06840087,0,0,0,0.735673262,0,0,0,0,0,0,0,0,0,0,8.807475061,1.921947633,0,5.451719164,0,0,0,0,0,0,0,0,0,0,0,0,26.04767894,0,0,0,0,0,0,0,0.992572152,0,0,0,0,0,0,0,9.346202373,0,0,2.274838394,0.195876491,0.320804932,1.056638145,0,0,3.073364295,0,0,0,0,0,1.179503321,0,0,0,0,10.38462232,0,0.650193473,0.879212719,3.9665137,0.103880891,0,0.240788918,0,0,0,0
1.930010469,3.804806889,46.01001055,0,0,3.008610719,0.039129944,0,0.61001821,0,1.461279467,1.659704245,0,0,1.828541295,5.010543243,0.020742845,2.077054528,0,0,0,9.385506248,0,0,0,16.88021365,0,0,0,0,0,0,0,0,0,0,18.06274331,0,0,19.69698128,0,0,0,0,0,0,0,0,0,0,0.001812233,0,19.46795134,0,0,0,0,0,0,5.232061113,0,0,0.006551219,0,1.072842985,0.157713326,0.212236752,0,1.509097021,0,0,0.640592,0.688191252,0.675401588,2.919254331,0,0,8.65364805,0.008408001,0.280040678,0,0.833868978,0,0,0.01036573,0,0,0,11.45048252,1.058147944,1.859164617,0,2.005980943,0.143823437,0.855758179,0.267148512,0,0,0,0
10.90919273,1.044770836,0.437654618,7.478356023,0,0.809487761,6.614708895,0,0.047472145,0.265337345,11.14129934,9.026465447,0,0,11.50549947,1.736294381,0.233310093,1.512946159,0.023321915,0,0,7.690584541,0,0,0,0.47776141,0.668414058,0,0,0,0,0,0,0,0,0,4.88976114,0.626609129,0,12.12690577,0,0,0,0,0,0,0,0,0,0,0,0,0.154750297,0,0,0,0,0.050343969,0,0,0,0,2.065286267,0,0,0,0.00062219,0,1.843856371,0,0,1.530508475,2.649494976,2.982323382,0.60553252,0,0,1.199500883,0,0,0,0,0,0,0.138028901,0,0,0.309633779,3.192064138,0.158789277,7.007846125,1.34225535,0.536085322,0.484379449,0,0.924030322,1.472959832,0,0,0
0,0,6.456470098,34.99107421,0.608975485,0,0.355660878,0,0,0,1.395780846,18.45176971,0,0,9.346864749,2.783444278,0,1.78886258,0,0,0,13.77798482,0,0,0,1.674859853,0,0,0,0,0,0,0,0,0,0,4.697099559,1.1908136,0,12.26570695,0,0,0,0,0,0,0,0,0,0,0,0,0.917131513,0,0,0,0,0.18735727,0,0.085124777,0,0.383029383,0,0,0.0447478,0.16051608,0.04330394,0,4.192425846,4.245134405,0,2.71038643,0.033738803,0,1.380780252,0.09321528,0,7.692706001,0.466163427,0.422128706,0,0.052899283,0.063818129,0.076082256,0,0,0,0.787866013,4.02863937,3.302413275,0.703993842,0,0.466072993,5.246690077,0,2.28409445,0.015136651,0,0,0
2.894597072,0,2.33151437,28.61006993,3.303791036,2.532376785,0,0.057064475,0.322325357,0,1.479163278,8.206902881,0,0,5.308774305,0.338212102,2.494045561,19.231253,0,0,0,7.193377123,0,0,0,3.390369524,0.128308669,0,0,0,0,0,0,0,0,0,4.060742269,0,0,11.20457303,0,0,0,0,0,0,0,0,0,0,0,0,0.066403048,0,0,0,0,0,0,0,0,0,0.052300358,1.895537604,0.246410755,0,0.103516475,0,0,0,0,0.143895729,1.125601115,4.442583656,0.907100117,0,0,3.257803676,0.035607096,0,0,0,0,0.019852751,0.052509805,0,0,0,5.388110819,2.739213957,0.272863748,0,0.81261009,6.673900746,0,3.115914623,0.286438587,0,0,0
0.22633097,0.78969575,5.276198189,11.4224682,0,0.141886081,0.880258624,0,0.820886416,0,6.883646263,2.892743422,0,0,0.708862331,2.157667993,0,0.0176638,0,0,0,12.18934924,0,0,0.083848868,2.647479027,0,0,0,0.024898945,0,0,0,0,0,0,5.873532457,0.205068847,0,3.270903252,0,0,0,0,0,0,0,0,0,0,0,0,22.02076256,0,0,0,0,0,0,0.257545138,0.032068545,4.377636943,0.134842472,0,0,1.729813797,0.032789351,0,2.870195028,0.024350378,0,1.753143207,2.024279314,3.360478715,1.297221549,0,0,1.805212778,0,0,0,0,0.157289219,0.787300858,0.06959779,0,0,0.157912136,4.169718625,0.282879113,0.48914863,0,2.21085966,3.59479604,0,1.174499763,0,0,0,0
0.065375745,0,2.237810111,14.06096634,0.191427197,0,0,0.031536121,0,0,0.211183665,17.58642497,0,0.021241309,0.22950394,0,0.653138582,0.650516716,0.037909049,0,0,3.385722586,0,0,0,4.122640463,0.270586297,0,19.52681643,0.317693794,0,0,0,0,0,0,3.486788201,1.415598897,0,6.437300732,0,0,0,0,0.05277135,0,0,0,0,0,0,0,1.959585374,0,0,0,0,0,0,1.116299123,0.015359346,0.154195607,0.360578782,0,0,0.00872422,0,0,3.850581462,0,0,11.56250001,4.181769142,3.505255073,2.637442487,0,0,4.902539325,0,0.298602705,0,2.758830167,0.175466926,0.338262358,2.264264338,0,0,0.290103168,3.731337531,0,0.091284514,0,4.041277026,1.280499446,0,1.649405278,4.688323176,0,0,0
4.098510345,0,3.549415228,7.430687898,0.078142505,0.969429831,0,0,0,0,6.889038076,1.155188952,0,0,30.203006,6.270149229,0.748447992,11.92825454,0,0,0,15.41920162,0,0,0,0.569222996,0,0,0,0,0,0,0,0,0,0,1.128490666,1.089365996,0,3.836018942,0,0,0,0,0,0,0,0,0,0,0,0,0.374471894,0,0,0,0,0,0,0,0,0,0,0,0.026326216,0,0,0,1.882659467,0,0,0.098600866,0.973401542,10.44748699,0.453674368,0.020209684,0,0.573631549,0,0,0,0.05540713,0,0.070341351,0.048226487,0,0,0,0.660197602,0.386644434,3.28636342,0,4.476686767,0.358178185,0,2.102103737,0.194323658,0,0,0
