CoVaR_sim_JPM,CoVaR_l_JPM
-0.095315726,-0.322119531
-0.047337679,-0.14455788
-0.024127181,-0.139352681
-0.074574611,-0.2718911
-0.105228592,-0.406452702
-0.03958667,-0.209533461
-0.071452498,-0.206729146
-0.017925256,-0.073584317
-0.042197409,-0.076655461
-0.159786336,-0.486330889
-0.091017935,-0.351123417
-0.125222646,-0.444730946
-0.131663964,-0.363960202
-0.108604192,-0.24596521
-0.083437529,-0.195001893
-0.106866151,-0.215852928
-0.104450294,-0.172912927
-0.150196397,-0.258267042
-0.139894389,-0.316564661
-0.089775315,-0.205163056
-0.141444579,-0.314465175
-0.065181945,-0.191920826
-0.111765076,-0.301415064
-0.070881484,-0.159654472
-0.126017654,-0.415535946
-0.066229736,-0.203688522
-0.102899116,-0.269442731
-0.047347458,-0.103555224
-0.092411294,-0.242385303
-0.086312902,-0.18775788
-0.072846362,-0.173519423
-0.096727661,-0.245922723
-0.055511213,-0.125025637
-0.07529692,-0.201589817
-0.071553346,-0.194262517
-0.087108209,-0.214099137
-0.103449602,-0.276176028
-0.11642356,-0.257758189
-0.13239152,-0.241528362
-0.096554547,-0.140591876
-0.066334224,-0.101127254
-0.06663671,-0.137252854
-0.04492969,0.022110885
-0.038273579,-0.106785221
-0.275887469,-0.261354731
-0.081561836,-0.190744766
-0.295009914,-0.718464113
-0.401766799,-0.557465692
-0.087618023,-0.334350876
-0.295870365,-0.491883573
-0.440470857,-0.744631503
-0.41361147,-1.080142464
-0.161331887,-0.372058506
-0.259952375,-0.448680995
-0.256522268,-0.576367539
-0.174706698,-0.227029861
-0.176395349,-0.143451682
-0.186327275,-0.504984496
-0.318293096,-0.666301028
-0.233202722,-0.579067701
-0.280991262,-0.622227972
-0.289825404,-0.643843596
-0.265556296,-0.614485317
-0.368287087,-0.639696752
-0.215831914,-0.424927601
-0.498119393,-0.839163073
-0.52419762,-0.853060077
-0.254880695,-0.216106805
-0.442198269,-1.025203576
-0.380810098,-0.683294959
-0.310210545,-0.411886187
-0.441364319,-0.852246806
-0.422320583,-0.716295507
-0.39947139,-0.65975206
-0.473301482,-1.012281695
-0.381912695,-0.547982127
-0.483017687,-0.982386726
-0.271652943,-0.411905271
-0.19024204,-0.271344007
-0.139305659,-0.243794988
-0.211317917,-0.344661215
-0.228625525,-0.365495486
-0.143703224,-0.190511104
-0.163537718,-0.270387543
-0.234020044,-0.28155825
-0.141669101,-0.223204278
-0.105821533,-0.120635357
-0.072308691,-0.062659788
-0.065871513,-0.11553328
-0.271149025,-0.453062572
-0.20294929,-0.46491092
-0.158498837,-0.24675077
-0.227342105,-0.478778712
-0.162688697,-0.334397997
-0.131648232,-0.242898046
-0.195481375,-0.261028372
-0.278889576,-0.472886554
-0.18811703,-0.217890163
-0.157494877,-0.114760131
-0.110483419,-0.165072018
-0.23613143,-0.442477728
-0.052333018,-0.117700569
-0.13050414,-0.264664998
-0.056002598,-0.1020913
-0.156905747,-0.263779054
-0.072192216,-0.142921452
-0.072942501,-0.135909979
-0.075480084,-0.150430251
