Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
WFC,Wells Fargo & Company,33.2,1.75E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wfc
JPM,J P Morgan Chase & Co,40.73,1.55E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm
BAC,Bank of America Corporation,9.77,1.05E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bac
C,Citigroup Inc.,35.77,1.05E+11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c
USB,U.S. Bancorp,32.05,60265877474,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/usb
COF,Capital One Financial Corporation,58.31,33917999929,n/a,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/cof
PNC,"PNC Financial Services Group, Inc. (The)",54.81,28986988977,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pnc
BK,Bank Of New York Mellon Corporation (The),24.04,28093311294,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bk
STT,State Street Corporation,45.4,21102291327,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stt
BBT,BB&T Corporation,28.38,19855806557,n/a,1991,Finance,Major Banks,http://www.nasdaq.com/symbol/bbt
STI,"SunTrust Banks, Inc.",26.8,14440609910,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sti
FITB,Fifth Third Bancorp,14.58,13085073496,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitb
MTB,M&T Bank Corporation,98.29,12581703253,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mtb
NTRS,Northern Trust Corporation,47.81,11464796357,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ntrs
RF,Regions Financial Corporation,6.58,9297559740,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/rf
KEY,KeyCorp,8.34,7786610100,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/key
CMA,Comerica Incorporated,28.67,5441692607,n/a,1986,Finance,Major Banks,http://www.nasdaq.com/symbol/cma
HBAN,Huntington Bancshares Incorporated,6.11,5227015647,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hban
HCBK,"Hudson City Bancorp, Inc.",8.03,4241396929,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/hcbk
PBCT,"People&#39;s United Financial, Inc.",11.69,4063782601,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/pbct
