Date,total_connectedness,averaged_lambda
07/12/2007,35.26627542,2.832155807
14/12/2007,34.03780588,2.828618024
21/12/2007,35.66954499,2.798114924
28/12/2007,37.147178,2.776966965
04/01/2008,35.02387849,2.921222889
11/01/2008,33.93371197,2.946917235
18/01/2008,32.28971878,3.005274562
25/01/2008,39.03099798,3.061204113
01/02/2008,40.0241955,3.280496906
08/02/2008,38.42691036,3.305631335
15/02/2008,40.89354719,3.356304606
22/02/2008,40.68364271,3.311251412
29/02/2008,42.68963419,3.298260716
07/03/2008,41.8322455,3.30303755
14/03/2008,40.29115946,3.360681729
21/03/2008,43.71385509,3.398715565
28/03/2008,43.39836214,3.422671869
04/04/2008,46.83924916,3.465281181
11/04/2008,44.70119967,3.549589287
18/04/2008,45.42386174,3.603856328
25/04/2008,44.4382248,3.606088775
02/05/2008,45.67733156,3.65219821
09/05/2008,44.89531046,3.617242068
16/05/2008,44.69176972,3.692505124
23/05/2008,44.24929743,3.652087586
30/05/2008,45.73031984,3.668878051
06/06/2008,45.34553403,3.766584384
13/06/2008,42.88758272,3.763833086
20/06/2008,40.77053413,3.871156133
27/06/2008,42.21090655,3.857329297
04/07/2008,44.23936667,3.742366598
11/07/2008,43.328715,3.791724048
18/07/2008,44.09014228,3.901322413
25/07/2008,43.49336071,3.934142343
01/08/2008,46.51351824,3.902984732
08/08/2008,48.04099163,3.928129851
15/08/2008,47.74827026,3.903657757
22/08/2008,46.8333335,4.00820577
29/08/2008,47.52244577,3.957213934
05/09/2008,46.55968729,3.882744506
12/09/2008,44.63204382,4.044666731
19/09/2008,42.71557489,4.37927441
26/09/2008,44.70391156,4.7411996
03/10/2008,52.36777852,5.094191339
10/10/2008,54.90856354,6.915952345
17/10/2008,52.0639448,7.309287387
24/10/2008,50.81680136,7.557207926
31/10/2008,57.74795491,7.710215258
07/11/2008,58.72198993,7.55299776
14/11/2008,58.54680485,7.820255049
21/11/2008,56.74557188,8.464418675
28/11/2008,59.85831144,9.434310625
05/12/2008,59.43072354,9.57269481
12/12/2008,60.16125853,9.28768211
19/12/2008,59.01965726,9.315496204
26/12/2008,58.34099541,9.162335852
02/01/2009,57.8740232,9.237539364
09/01/2009,59.01167713,9.186143247
16/01/2009,58.73019948,9.152843916
23/01/2009,60.47864139,9.424699689
30/01/2009,59.91085964,9.350156751
06/02/2009,60.07049545,9.268204488
13/02/2009,61.04326016,9.393862112
20/02/2009,59.69177663,9.981824774
27/02/2009,60.79044492,9.908028359
06/03/2009,61.1017648,9.841662333
13/03/2009,61.3510647,10.62837098
20/03/2009,58.96048652,10.51528553
27/03/2009,59.55872852,10.56407819
03/04/2009,59.75085693,10.42802921
10/04/2009,59.52502075,10.64831486
17/04/2009,59.19311597,10.49658141
24/04/2009,58.55349966,10.46917265
01/05/2009,56.86399047,10.43094584
08/05/2009,56.34110072,10.80719444
15/05/2009,57.45425348,10.83390474
22/05/2009,57.44049484,10.63709161
29/05/2009,57.58694007,10.6874775
05/06/2009,58.18384537,10.69221061
12/06/2009,58.55251147,10.52056041
19/06/2009,57.41394967,10.44314072
26/06/2009,58.12503888,10.52089331
03/07/2009,58.31997285,10.42638319
10/07/2009,57.30227799,10.26915979
17/07/2009,57.16102693,10.42076841
24/07/2009,56.64706137,10.66266567
31/07/2009,56.4720365,10.6466745
07/08/2009,56.85135592,10.47372788
14/08/2009,56.44302568,10.51991173
21/08/2009,57.62517583,10.62470162
28/08/2009,57.66982443,10.66409116
04/09/2009,58.65576646,10.30161666
11/09/2009,56.99144994,10.2089192
18/09/2009,51.93105963,9.275501047
25/09/2009,51.77073657,9.306720866
02/10/2009,49.21205966,9.132545913
09/10/2009,46.18202934,9.174500235
16/10/2009,45.95770578,9.148312267
23/10/2009,45.71928657,8.852191311
30/10/2009,47.40137173,8.222255082
06/11/2009,47.34807301,7.483578068
13/11/2009,46.68569164,7.607899302
20/11/2009,46.85434989,7.562171931
27/11/2009,47.47243477,7.525528725
04/12/2009,46.98368314,7.736930564
